I0,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11,I12,I13,I14,I15,I16,I17
41.260,37.690,39.510,40.730,43.000,41.260,1.740,3.000,0.020,0.000,5.220,2.750,0.000,7.970,30.000,1.000,4.000,1.000
41.280,37.650,39.510,40.720,43.000,41.280,1.720,3.000,0.020,0.000,5.150,2.780,0.000,7.940,30.000,1.000,4.000,1.000
41.260,37.620,39.500,40.710,43.000,41.260,1.740,3.000,0.020,0.000,5.230,2.820,0.000,8.050,30.000,1.000,4.000,1.000
41.220,37.590,39.500,40.710,43.000,41.220,1.780,3.000,0.020,0.000,5.340,2.850,0.000,8.200,30.000,1.000,4.000,1.000
41.180,37.560,39.510,40.710,43.000,41.180,1.820,3.000,0.020,0.000,5.460,2.890,0.000,8.350,30.000,1.000,4.000,1.000
41.170,37.530,39.520,40.720,43.000,41.170,1.830,3.000,0.020,0.000,5.490,2.930,0.000,8.410,30.000,1.000,4.000,1.000
41.160,37.530,39.530,40.720,43.000,41.160,1.840,3.000,0.020,0.000,5.510,2.960,0.000,8.480,30.000,1.000,4.000,1.000
41.190,37.540,39.540,40.740,43.000,41.190,1.810,3.000,0.020,0.000,5.420,3.000,0.000,8.420,30.000,1.000,4.000,1.000
41.210,37.560,39.560,40.750,43.000,41.210,1.790,3.000,0.020,0.000,5.370,3.030,0.000,8.400,30.000,1.000,4.000,1.000
41.250,37.590,39.580,40.770,43.000,41.250,1.750,3.000,0.020,0.000,5.260,3.070,0.000,8.330,30.000,1.000,4.000,1.000
41.300,37.620,39.600,40.790,43.000,41.300,1.700,3.000,0.020,0.000,5.090,3.100,0.000,8.200,30.000,1.000,4.000,1.000
41.330,37.670,39.620,40.810,43.000,41.330,1.670,3.000,0.020,0.000,5.010,3.140,0.000,8.150,30.000,1.000,4.000,1.000
41.370,37.710,39.650,40.840,43.000,41.370,1.630,3.000,0.020,0.000,4.900,3.170,0.000,8.070,30.000,1.000,4.000,1.000
41.440,37.740,39.670,40.860,43.000,41.440,1.560,3.000,0.020,0.000,4.670,3.200,0.000,7.870,30.000,1.000,4.000,1.000
41.480,37.770,39.690,40.890,43.000,41.480,1.520,3.000,0.020,0.000,4.570,3.230,0.000,7.800,30.000,1.000,4.000,1.000
41.510,37.790,39.710,40.920,43.000,41.510,1.490,3.000,0.020,0.000,4.460,3.260,0.000,7.720,30.000,1.000,4.000,1.000
41.570,37.790,39.730,40.940,43.000,41.570,1.430,3.000,0.020,0.000,4.290,3.290,0.000,7.580,30.000,1.000,4.000,1.000
41.600,37.790,39.750,40.970,43.000,41.600,1.400,3.000,0.020,0.000,4.190,3.320,0.000,7.500,30.000,1.000,4.000,1.000
41.640,37.810,39.780,40.990,43.000,41.640,1.360,3.000,0.020,0.000,4.070,3.340,0.000,7.410,30.000,1.000,4.000,1.000
41.640,37.810,39.800,41.020,43.000,41.640,1.360,3.000,0.020,0.000,4.090,3.370,0.000,7.470,30.000,1.000,4.000,1.000
41.610,37.810,39.830,41.040,43.000,41.610,1.390,3.000,0.020,0.000,4.180,3.400,0.000,7.580,30.000,1.000,4.000,1.000
41.550,37.790,39.860,41.060,43.000,41.550,1.450,3.000,0.020,0.000,4.340,3.430,0.000,7.770,30.000,1.000,4.000,1.000
41.520,37.760,39.880,41.090,43.000,41.520,1.480,3.000,0.020,0.000,4.430,3.460,0.000,7.890,30.000,1.000,4.000,1.000
41.480,37.710,39.910,41.110,43.000,41.480,1.520,3.000,0.020,0.000,4.550,3.490,0.000,8.040,30.000,1.000,4.000,1.000
41.490,37.690,39.930,41.130,43.000,41.490,1.510,3.000,0.020,0.000,4.540,3.520,0.000,8.050,30.000,1.000,4.000,1.000
41.530,37.680,39.950,41.140,43.000,41.530,1.470,3.000,0.020,0.000,4.420,3.550,0.000,7.970,30.000,1.000,4.000,1.000
41.520,37.670,39.970,41.160,43.000,41.520,1.480,3.000,0.020,0.000,4.440,3.580,0.000,8.010,30.000,1.000,4.000,1.000
41.540,37.680,39.990,41.190,43.000,41.540,1.460,3.000,0.020,0.000,4.380,3.610,0.000,7.990,30.000,1.000,4.000,1.000
41.490,37.680,40.010,41.210,43.000,41.490,1.510,3.000,0.020,0.000,4.530,3.640,0.000,8.160,30.000,1.000,4.000,1.000
41.450,37.670,40.030,41.240,43.000,41.450,1.550,3.000,0.020,0.000,4.640,3.670,0.000,8.310,30.000,1.000,4.000,1.000
41.390,37.660,40.050,41.260,43.000,41.390,1.610,3.000,0.020,0.000,4.830,3.700,0.000,8.530,30.000,1.000,4.000,1.000
41.340,37.640,40.080,41.290,43.000,41.340,1.660,3.000,0.020,0.000,4.970,3.730,0.000,8.710,30.000,1.000,4.000,1.000
41.310,37.640,40.110,41.320,43.000,41.320,1.680,3.000,0.020,0.000,5.040,3.770,0.000,8.810,30.000,1.000,4.000,1.000
41.310,37.610,40.130,41.340,43.000,41.340,1.660,3.000,0.020,0.000,4.970,3.800,0.000,8.770,30.000,1.000,4.000,1.000
41.320,37.610,40.160,41.370,43.000,41.370,1.630,3.000,0.020,0.000,4.890,3.830,0.000,8.720,30.000,1.000,4.000,1.000
41.370,37.610,40.190,41.400,43.000,41.400,1.600,3.000,0.020,0.000,4.810,3.870,0.000,8.670,30.000,1.000,4.000,1.000
41.450,37.620,40.230,41.430,43.000,41.450,1.550,3.000,0.020,0.000,4.650,3.900,0.000,8.550,30.000,1.000,4.000,1.000
41.530,37.630,40.260,41.470,43.000,41.530,1.470,3.000,0.020,0.000,4.420,3.930,0.000,8.350,30.000,1.000,4.000,1.000
41.610,37.660,40.300,41.500,43.000,41.610,1.390,3.000,0.020,0.000,4.160,3.950,0.000,8.110,30.000,1.000,4.000,1.000
41.670,37.710,40.330,41.540,43.000,41.670,1.330,3.000,0.020,0.000,3.990,3.980,0.000,7.970,30.000,1.000,4.000,1.000
41.720,37.760,40.370,41.580,43.000,41.720,1.280,3.000,0.020,0.000,3.850,4.010,0.000,7.850,30.000,1.000,4.000,1.000
41.770,37.810,40.400,41.610,43.000,41.770,1.230,3.000,0.020,0.000,3.690,4.030,0.000,7.720,30.000,1.000,4.000,1.000
41.810,37.870,40.430,41.650,43.000,41.810,1.190,3.000,0.020,0.000,3.560,4.050,0.000,7.610,30.000,1.000,4.000,1.000
41.810,37.920,40.460,41.680,43.000,41.810,1.190,3.000,0.020,0.000,3.570,4.080,0.000,7.650,30.000,1.000,4.000,1.000
41.830,37.980,40.490,41.710,43.000,41.830,1.170,3.000,0.020,0.000,3.510,4.100,0.000,7.620,30.000,1.000,4.000,1.000
41.800,37.980,40.510,41.740,43.000,41.800,1.200,3.000,0.020,0.000,3.600,4.130,0.000,7.730,30.000,1.000,4.000,1.000
41.800,37.980,40.530,41.760,43.000,41.800,1.200,3.000,0.020,0.000,3.590,4.150,0.000,7.740,30.000,1.000,4.000,1.000
41.820,37.970,40.550,41.780,43.000,41.820,1.180,3.000,0.020,0.000,3.550,4.170,0.000,7.720,30.000,1.000,4.000,1.000
41.840,37.960,40.570,41.800,43.000,41.840,1.160,3.000,0.020,0.000,3.470,4.200,0.000,7.660,30.000,1.000,4.000,1.000
41.860,37.950,40.580,41.820,43.000,41.860,1.140,3.000,0.020,0.000,3.420,4.220,0.000,7.640,30.000,1.000,4.000,1.000
41.890,37.930,40.600,41.840,43.000,41.890,1.110,3.000,0.020,0.000,3.340,4.240,0.000,7.580,30.000,1.000,4.000,1.000
41.870,37.920,40.610,41.850,43.000,41.870,1.130,3.000,0.020,0.000,3.380,4.260,0.000,7.640,30.000,1.000,4.000,1.000
41.860,37.920,40.630,41.870,43.000,41.870,1.130,3.000,0.020,0.000,3.390,4.290,0.000,7.670,30.000,1.000,4.000,1.000
41.860,37.900,40.640,41.890,43.000,41.890,1.110,3.000,0.020,0.000,3.340,4.310,0.000,7.650,30.000,1.000,4.000,1.000
41.900,37.900,40.660,41.910,43.000,41.910,1.090,3.000,0.020,0.000,3.280,4.330,0.000,7.610,30.000,1.000,4.000,1.000
41.920,37.910,40.680,41.920,43.000,41.920,1.080,3.000,0.020,0.000,3.240,4.350,0.000,7.590,30.000,1.000,4.000,1.000
41.960,37.940,40.690,41.940,43.000,41.960,1.040,3.000,0.020,0.000,3.110,4.370,0.000,7.480,30.000,1.000,4.000,1.000
42.060,37.990,40.700,41.950,43.000,42.060,0.940,3.000,0.020,0.000,2.830,4.390,0.000,7.220,30.000,1.000,4.000,1.000
42.150,38.030,40.710,41.960,43.000,42.150,0.850,3.000,0.020,0.000,2.560,4.410,0.000,6.970,30.000,1.000,4.000,1.000
42.220,38.090,40.720,41.970,43.000,42.220,0.780,3.000,0.020,0.000,2.330,4.420,0.000,6.750,30.000,1.000,4.000,1.000
42.230,38.150,40.730,41.980,43.000,42.230,0.770,3.000,0.020,0.000,2.310,4.440,0.000,6.750,30.000,1.000,4.000,1.000
42.210,38.190,40.730,41.980,43.000,42.210,0.790,3.000,0.020,0.000,2.370,4.460,0.000,6.820,30.000,1.000,4.000,1.000
42.230,38.230,40.730,41.990,43.000,42.230,0.770,3.000,0.020,0.000,2.320,4.470,0.000,6.790,30.000,1.000,4.000,1.000
42.270,38.250,40.730,41.990,43.000,42.270,0.730,3.000,0.020,0.000,2.190,4.490,0.000,6.670,30.000,1.000,4.000,1.000
42.280,38.290,40.730,42.000,43.000,42.280,0.720,3.000,0.020,0.000,2.160,4.500,0.000,6.660,30.000,1.000,4.000,1.000
42.280,38.320,40.730,42.000,43.000,42.280,0.720,3.000,0.020,0.000,2.170,4.510,0.000,6.680,30.000,1.000,4.000,1.000
42.310,38.360,40.720,42.000,43.000,42.310,0.690,3.000,0.020,0.000,2.070,4.530,0.000,6.600,30.000,1.000,4.000,1.000
42.320,38.360,40.700,41.990,43.000,42.320,0.680,3.000,0.020,0.000,2.040,4.540,0.000,6.580,30.000,1.000,4.000,1.000
42.270,38.340,40.690,41.990,43.000,42.270,0.730,3.000,0.020,0.000,2.200,4.560,0.000,6.750,30.000,1.000,4.000,1.000
42.220,38.320,40.670,41.980,43.000,42.220,0.780,3.000,0.020,0.000,2.330,4.570,0.000,6.900,30.000,1.000,4.000,1.000
42.190,38.310,40.660,41.970,43.000,42.190,0.810,3.000,0.020,0.000,2.420,4.590,0.000,7.010,30.000,1.000,4.000,1.000
42.180,38.310,40.640,41.960,43.000,42.180,0.820,3.000,0.020,0.000,2.450,4.600,0.000,7.050,30.000,1.000,4.000,1.000
42.160,38.310,40.630,41.950,43.000,42.160,0.840,3.000,0.020,0.000,2.510,4.620,0.000,7.130,30.000,1.000,4.000,1.000
42.180,38.310,40.620,41.940,43.000,42.180,0.820,3.000,0.020,0.000,2.470,4.640,0.000,7.100,30.000,1.000,4.000,1.000
42.180,38.300,40.600,41.940,43.000,42.180,0.820,3.000,0.020,0.000,2.450,4.650,0.000,7.100,30.000,1.000,4.000,1.000
42.180,38.280,40.600,41.930,43.000,42.180,0.820,3.000,0.020,0.000,2.470,4.670,0.000,7.140,30.000,1.000,4.000,1.000
42.140,38.260,40.590,41.930,43.000,42.140,0.860,3.000,0.020,0.000,2.570,4.690,0.000,7.250,30.000,1.000,4.000,1.000
42.050,38.240,40.590,41.930,43.000,42.050,0.950,3.000,0.020,0.000,2.850,4.710,0.000,7.550,30.000,1.000,4.000,1.000
41.980,38.230,40.580,41.920,43.000,41.980,1.020,3.000,0.020,0.000,3.060,4.730,0.000,7.780,30.000,1.000,4.000,1.000
41.910,38.230,40.580,41.920,43.000,41.920,1.080,3.000,0.020,0.000,3.250,4.750,0.000,8.000,30.000,1.000,4.000,1.000
41.900,38.220,40.570,41.910,43.000,41.910,1.090,3.000,0.020,0.000,3.260,4.770,0.000,8.030,30.000,1.000,4.000,1.000
41.940,38.230,40.580,41.910,43.000,41.940,1.060,3.000,0.020,0.000,3.190,4.790,0.000,7.980,30.000,1.000,4.000,1.000
41.950,38.260,40.580,41.920,43.000,41.950,1.050,3.000,0.020,0.000,3.150,4.810,0.000,7.970,30.000,1.000,4.000,1.000
41.960,38.280,40.590,41.910,43.000,41.960,1.040,3.000,0.020,0.000,3.110,4.830,0.000,7.940,30.000,1.000,4.000,1.000
42.000,38.310,40.590,41.920,43.000,42.000,1.000,3.000,0.020,0.000,3.000,4.850,0.000,7.850,30.000,1.000,4.000,1.000
41.980,38.320,40.600,41.930,43.000,41.980,1.020,3.000,0.020,0.000,3.060,4.870,0.000,7.930,30.000,1.000,4.000,1.000
41.940,38.320,40.610,41.940,43.000,41.940,1.060,3.000,0.020,0.000,3.170,4.890,0.000,8.060,30.000,1.000,4.000,1.000
41.890,38.310,40.630,41.950,43.000,41.950,1.050,3.000,0.020,0.000,3.150,4.920,0.000,8.070,30.000,1.000,4.000,1.000
41.900,38.310,40.640,41.960,43.000,41.960,1.040,3.000,0.020,0.000,3.120,4.940,0.000,8.050,30.000,1.000,4.000,1.000
41.910,38.320,40.660,41.970,43.000,41.970,1.030,3.000,0.020,0.000,3.090,4.960,0.000,8.050,30.000,1.000,4.000,1.000
41.920,38.310,40.670,41.980,43.000,41.980,1.020,3.000,0.020,0.000,3.050,4.980,0.000,8.030,30.000,1.000,4.000,1.000
41.910,38.300,40.690,42.000,43.000,42.000,1.000,3.000,0.020,0.000,3.000,5.000,0.000,8.000,30.000,1.000,4.000,1.000
41.940,38.280,40.710,42.010,43.000,42.010,0.990,3.000,0.020,0.000,2.960,5.020,0.000,7.980,30.000,1.000,4.000,1.000
41.950,38.280,40.730,42.020,43.000,42.020,0.980,3.000,0.020,0.000,2.930,5.040,0.000,7.960,30.000,1.000,4.000,1.000
41.940,38.300,40.750,42.040,43.000,42.040,0.960,3.000,0.020,0.000,2.880,5.060,0.000,7.940,30.000,1.000,4.000,1.000
41.900,38.330,40.770,42.050,43.000,42.050,0.950,3.000,0.020,0.000,2.840,5.070,0.000,7.910,30.000,1.000,4.000,1.000
41.850,38.340,40.790,42.070,43.000,42.070,0.930,3.000,0.020,0.000,2.800,5.090,0.000,7.890,30.000,1.000,4.000,1.000
41.780,38.330,40.810,42.080,43.000,42.080,0.920,3.000,0.020,0.000,2.770,5.110,0.000,7.880,30.000,1.000,4.000,1.000
41.770,38.320,40.830,42.090,43.000,42.090,0.910,3.000,0.020,0.000,2.730,5.130,0.000,7.860,30.000,1.000,4.000,1.000
41.800,38.330,40.850,42.100,43.000,42.100,0.900,3.000,0.020,0.000,2.690,5.150,0.000,7.830,30.000,1.000,4.000,1.000
41.820,38.350,40.870,42.120,43.000,42.120,0.880,3.000,0.020,0.000,2.640,5.170,0.000,7.810,30.000,1.000,4.000,1.000
41.880,38.370,40.890,42.140,43.000,42.140,0.860,3.000,0.020,0.000,2.590,5.180,0.000,7.770,30.000,1.000,4.000,1.000
41.940,38.400,40.910,42.150,43.000,42.150,0.850,3.000,0.020,0.000,2.540,5.200,0.000,7.740,30.000,1.000,4.000,1.000
41.990,38.430,40.930,42.170,43.000,42.170,0.830,3.000,0.020,0.000,2.480,5.220,0.000,7.700,30.000,1.000,4.000,1.000
41.990,38.450,40.950,42.190,43.000,42.190,0.810,3.000,0.020,0.000,2.430,5.230,0.000,7.660,30.000,1.000,4.000,1.000
41.990,38.470,40.970,42.210,43.000,42.210,0.790,3.000,0.020,0.000,2.380,5.250,0.000,7.630,30.000,1.000,4.000,1.000
42.010,38.480,40.980,42.230,43.000,42.230,0.770,3.000,0.020,0.000,2.320,5.260,0.000,7.580,30.000,1.000,4.000,1.000
42.010,38.490,41.000,42.250,43.000,42.250,0.750,3.000,0.020,0.000,2.260,5.280,0.000,7.540,30.000,1.000,4.000,1.000
42.060,38.500,41.020,42.270,43.000,42.270,0.730,3.000,0.020,0.000,2.190,5.290,0.000,7.490,30.000,1.000,4.000,1.000
42.060,38.490,41.040,42.290,43.000,42.290,0.710,3.000,0.020,0.000,2.120,5.310,0.000,7.430,30.000,1.000,4.000,1.000
42.040,38.470,41.060,42.310,43.000,42.310,0.690,3.000,0.020,0.000,2.070,5.320,0.000,7.390,30.000,1.000,4.000,1.000
42.020,38.420,41.070,42.320,43.000,42.320,0.680,3.000,0.020,0.000,2.030,5.330,0.000,7.360,30.000,1.000,4.000,1.000
42.000,38.390,41.090,42.340,43.000,42.340,0.660,3.000,0.020,0.000,1.990,5.350,0.000,7.330,30.000,1.000,4.000,1.000
41.960,38.360,41.100,42.350,43.000,42.350,0.650,3.000,0.020,0.000,1.950,5.360,0.000,7.320,30.000,1.000,4.000,1.000
41.950,38.330,41.120,42.350,43.000,42.350,0.650,3.000,0.020,0.000,1.940,5.370,0.000,7.320,30.000,1.000,4.000,1.000
41.970,38.280,41.120,42.360,43.000,42.360,0.640,3.000,0.020,0.000,1.930,5.390,0.000,7.320,30.000,1.000,4.000,1.000
41.980,38.230,41.130,42.360,43.000,42.360,0.640,3.000,0.020,0.000,1.920,5.400,0.000,7.320,30.000,1.000,4.000,1.000
41.950,38.180,41.140,42.370,43.000,42.370,0.630,3.000,0.020,0.000,1.900,5.410,0.000,7.310,30.000,1.000,4.000,1.000
41.890,38.140,41.150,42.370,43.000,42.370,0.630,3.000,0.020,0.000,1.880,5.420,0.000,7.300,30.000,1.000,4.000,1.000
